genre,token,positive_sample_count,affected_samples,mean_probability_delta,mean_abs_probability_delta,mean_logit_delta
Musical,with,51,24,0.020806784454748595,0.02792048549777822,0.12423751875758171
Musical,is,90,23,0.02016958192463948,0.034398293542479856,0.07670667767524719
Musical,his,58,19,0.019083976808001592,0.02161758868013701,0.18052485663639872
Musical,and,156,31,0.017977446452365962,0.0450777966869634,0.1748367336488539
Musical,in,70,22,0.017366374365833923,0.03902306331300762,0.04677594656294042
Musical,for,46,21,0.007960544009187115,0.01790927417858343,0.0333577607359205
Musical,of,106,27,-0.0060292696662819015,0.022065571432061983,-0.09206784488978209
Western,by,28,18,0.028819687129928044,0.03276695024780767,0.22205993201997545
Western,the,217,32,0.024199054322593838,0.057695779229902655,0.32355165109038353
Western,of,86,30,-0.023045846328750487,0.029750682388112182,-0.21320653955141702
Western,his,47,21,0.016722434300477505,0.019139412113872822,0.12977963260241918
Western,with,27,17,-0.014820557648764568,0.01923078946342952,-0.204097099163953
Western,in,49,28,-0.007518775192173572,0.016819902599438916,-0.011170427714075361
Western,is,46,23,-0.0073753714551339335,0.011721473688300213,-0.06436210352441539
Western,to,112,30,0.004477077227299257,0.022246811040774143,0.20664365986982983
Western,and,99,29,-0.003042369179230922,0.008673698354837613,-0.016971307581868666
Western,he,40,18,-0.0007010861558632718,0.017086339053801365,0.06925822794437408
Sport,the,180,31,0.031390135107006154,0.04587913931520175,0.25953118839571554
Sport,is,58,19,-0.019103145818103497,0.022684883035253733,-0.10075994855479191
Sport,and,90,29,0.013936563081846669,0.030104560368084187,0.09999121365876033
Sport,to,100,27,0.01298738438937882,0.038525545600956924,0.152172835888686
Sport,his,57,18,-0.012314787202437097,0.03407681222759291,-0.15952001677619088
Sport,in,57,24,-0.009975761980361616,0.028825749148381874,-0.06755257025361061
Sport,of,61,24,-0.005744145232407997,0.02384942116138215,-0.0997838241358598
Sport,who,30,16,0.0050977113205590285,0.023238018016854767,0.070562694221735
Sport,for,27,18,0.004845075723197725,0.0247298168639342,0.040720840295155845
Sport,he,29,14,-0.000493701609749613,0.02122763284465431,0.026412448712757657
Short,the,146,28,0.1552543550365694,0.1552543550365694,1.5091379721249853
Short,and,66,23,0.08500573737206729,0.08643389531860758,0.7789451583572056
Short,of,66,27,0.03376840610804653,0.05526171837158876,0.440171859882496
Short,it,15,12,0.018363724284123844,0.021267525763505546,0.1427750289440155
