variant,sample_f1,micro_f1,macro_f1,weighted_f1,hamming_loss
both,0.7361708339969211,0.7513812154696132,0.7382402337645305,0.7541846245576519,0.08506616257088846
text_only,0.6621508925856752,0.6740331491712708,0.6540534747056487,0.6698142868874576,0.11153119092627599
image_only,0.3240165631469979,0.32142857142857145,0.12328704069018122,0.21414685789326132,0.14366729678638943
blank,0.21097308488612834,0.203125,0.035089514066496165,0.09070301291248208,0.19281663516068054
permute_text,0.6660535117056857,0.6703910614525139,0.6662500542935327,0.6717995419214932,0.11153119092627599
permute_image,0.6675771088814567,0.6850828729281768,0.6754624602450691,0.674698742991426,0.10775047258979206
