genre,token,count,mean_attribution,mean_abs_attribution
Adventure,alien,2,2.325011521577835,2.325011521577835
Adventure,crashes,2,2.0689502954483032,2.0689502954483032
Adventure,investigate,1,1.8963241577148438,1.8963241577148438
Adventure,earth,2,1.4564071893692017,1.4564071893692017
Adventure,scientists,2,0.9057913720607758,0.9057913720607758
Adventure,meteorite,2,0.7514550387859344,0.7514550387859344
Adventure,days,2,-0.7453243583440781,0.7453243583440781
Adventure,period,1,-0.6121616363525391,0.6121616363525391
Adventure,giant,1,0.5708681344985962,0.5708681344985962
Adventure,machine,1,0.4478272795677185,0.4478272795677185
Adventure,different,2,-0.3721916675567627,0.3721916675567627
Adventure,nights,1,-0.3462066054344177,0.3462066054344177
Adventure,and,1,0.3436553478240967,0.3436553478240967
Adventure,trying,1,-0.30770161747932434,0.30770161747932434
Adventure,into,1,-0.2608252763748169,0.2608252763748169
Adventure,race,1,0.20195119082927704,0.20195119082927704
Adventure,comes,1,0.1983048915863037,0.1983048915863037
Animation,soon,2,-1.0056192874908447,1.0056192874908447
Animation,homes,2,-0.9480407536029816,0.9480407536029816
Animation,stopped,2,0.876460075378418,0.876460075378418
Animation,starts,2,-0.8746517896652222,0.8746517896652222
Animation,must,2,0.7171871066093445,0.7171871066093445
Animation,trip,2,0.705195814371109,0.705195814371109
Animation,euphemism,2,0.671972930431366,0.671972930431366
Animation,wind,1,0.6494301557540894,0.6494301557540894
Animation,",",1,-0.6370391845703125,0.6370391845703125
Animation,because,2,-0.6245939433574677,0.6245939433574677
Animation,outhouse,2,-0.5621408224105835,0.5621408224105835
Animation,the,3,0.5164717137813568,0.5164717137813568
Animation,grinch,1,0.4331897795200348,0.4331897795200348
Biography,war,1,6.116278648376465,6.116278648376465
Biography,battles,2,2.9222012162208557,2.9222012162208557
Biography,infantry,1,2.3836498260498047,2.3836498260498047
Biography,bandit,4,2.336769327521324,2.336769327521324
Biography,elephant,1,2.331718921661377,2.331718921661377
Biography,coors,2,1.92165607213974,1.92165607213974
Biography,country,2,1.8652133345603943,1.8652133345603943
Biography,soviet,2,1.481443703174591,1.481443703174591
Biography,less,1,-1.4603770971298218,1.4603770971298218
Biography,most,2,1.2233048975467682,1.2233048975467682
Biography,of,4,1.1959494352340698,1.1959494352340698
Biography,N,4,1.1549392640590668,1.1549392640590668
Biography,texas,1,1.1283373832702637,1.1283373832702637
Biography,story,2,1.0982798337936401,1.0982798337936401
Biography,across,2,1.0954841375350952,1.0954841375350952
Biography,or,1,-1.0186313390731812,1.0186313390731812
Biography,transport,2,-0.8172950595617294,0.8172950595617294
Biography,they,1,-0.739068865776062,0.739068865776062
Biography,against,1,-0.71751868724823,0.71751868724823
Biography,the,2,-0.7080300599336624,0.7080300599336624
Biography,faced,2,-0.5287880599498749,0.5287880599498749
Biography,enos,1,0.4004521369934082,0.4004521369934082
Biography,speaking,1,0.389346718788147,0.389346718788147
Biography,wartime,1,-0.3617994785308838,0.3617994785308838
Biography,a,1,-0.3582497239112854,0.3582497239112854
Biography,continuation,1,-0.35627177357673645,0.35627177357673645
Biography,karelian,1,-0.3526793122291565,0.3526793122291565
Biography,famous,1,0.35116133093833923,0.35116133093833923
Biography,few,1,-0.3508923649787903,0.3508923649787903
Comedy,homes,1,-1.228211522102356,1.228211522102356
Comedy,trip,1,0.8905102610588074,0.8905102610588074
Comedy,euphemism,1,0.8840594291687012,0.8840594291687012
Comedy,must,1,0.8628337383270264,0.8628337383270264
Comedy,because,1,-0.7507845759391785,0.7507845759391785
Comedy,stopped,2,0.7018599212169647,0.7018599212169647
Comedy,soon,2,-0.5717757120728493,0.659854494035244
Comedy,wind,1,0.6494301557540894,0.6494301557540894
Comedy,",",1,-0.6370391845703125,0.6370391845703125
Comedy,starts,2,-0.45816682279109955,0.580852285027504
Comedy,outhouse,2,-0.30819621682167053,0.45287999510765076
Comedy,the,2,0.3017064109444618,0.3927495703101158
Comedy,spooks,1,0.23640315234661102,0.23640315234661102
Comedy,has,1,0.16869109869003296,0.16869109869003296
Comedy,they,1,0.16071447730064392,0.16071447730064392
Comedy,his,1,0.13994532823562622,0.13994532823562622
Comedy,make,1,0.11656420677900314,0.11656420677900314
Comedy,when,1,0.11291973292827606,0.11291973292827606
Comedy,grinch,1,-0.0886688381433487,0.0886688381433487
Drama,war,2,4.136630654335022,4.136630654335022
Drama,love,2,1.1602146625518799,1.1602146625518799
Drama,suddenly,1,-1.0851774215698242,1.0851774215698242
Drama,thriller,2,-1.0123739913105965,1.0123739913105965
Drama,power,2,-0.7523233145475388,0.7523233145475388
Drama,someone,1,-0.7371412515640259,0.7371412515640259
Drama,a,1,-0.7269952297210693,0.7269952297210693
Drama,beliefs,2,0.724490225315094,0.724490225315094
Drama,leader,2,0.6691147685050964,0.6691147685050964
Drama,testimony,2,0.6085812598466873,0.6085812598466873
Drama,handguns,2,0.3970033824443817,0.5897772014141083
Drama,james,1,0.5880638360977173,0.5880638360977173
Drama,loading,3,0.5662871102492014,0.5662871102492014
Drama,find,2,-0.5256239548325539,0.5256239548325539
Drama,solve,2,-0.4747153967618942,0.4747153967618942
Drama,how,2,-0.4685158431529999,0.4685158431529999
Drama,british,2,0.4120203107595444,0.4120203107595444
Drama,tyrannical,1,0.409524142742157,0.409524142742157
Drama,unusual,1,-0.4004574716091156,0.4004574716091156
Drama,upbringing,2,-0.3437844067811966,0.3437844067811966
Drama,save,1,-0.33076101541519165,0.33076101541519165
Drama,relaying,2,-0.32950344681739807,0.32950344681739807
Drama,scrap,1,0.3177122175693512,0.3177122175693512
Drama,intellectual,2,0.3144635707139969,0.3144635707139969
Drama,officer,2,0.31048060953617096,0.31048060953617096
Drama,reed,1,0.29388245940208435,0.29388245940208435
Drama,judd,1,-0.2531600594520569,0.2531600594520569
Drama,anyone,1,0.25212588906288147,0.25212588906288147
Drama,young,1,0.23733748495578766,0.23733748495578766
Drama,peace,1,0.23335383832454681,0.23335383832454681
Drama,racial,1,0.23027977347373962,0.23027977347373962
Drama,storyline,1,-0.22932609915733337,0.22932609915733337
Drama,somewhat,1,0.21609796583652496,0.21609796583652496
Drama,pretty,1,-0.21335625648498535,0.21335625648498535
Drama,stops,1,0.19614773988723755,0.19614773988723755
Drama,things,1,-0.18893468379974365,0.18893468379974365
Drama,protect,1,-0.18348568677902222,0.18348568677902222
Drama,nobody,1,0.1618431657552719,0.1618431657552719
Drama,rules,1,-0.16150091588497162,0.16150091588497162
Drama,life,1,0.15564368665218353,0.15564368665218353
Drama,wild,1,-0.14618411660194397,0.14618411660194397
Drama,fitzgerald,1,-0.14366820454597473,0.14366820454597473
